axis,alpha_unit,n,mean_plutchik_max,mean_plutchik_entropy,mean_other_score,frac_other_dominant,top_other_label,top_other_count,top_plutchik,n_unique_other_labels,mean_s_anger,mean_s_anticipation,mean_s_disgust,mean_s_fear,mean_s_joy,mean_s_sadness,mean_s_surprise,mean_s_trust
41,2.0,8,0.48750000000000004,0.9566851374647497,0.375,0.375,indecision,1,anticipation,5,0.0,0.425,0.0875,0.0,0.2625,0.0,0.1625,0.2875
42,-2.0,8,0.3375,0.5609474583239337,0.3875,0.5,uncertainty,2,anticipation,4,0.0,0.25,0.0,0.0625,0.1,0.0625,0.0375,0.15
42,0.0,8,0.475,0.8326080068407429,0.425,0.625,confusion,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.075,0.0,0.2875
42,2.0,8,0.525,1.0770402566992172,0.5625,0.625,frustration,1,anticipation,8,0.0875,0.4375,0.025,0.125,0.2375,0.05,0.0875,0.3
43,-2.0,8,0.475,0.8196191814715339,0.36250000000000004,0.375,confusion,2,anticipation,5,0.0,0.3875,0.0625,0.075,0.0375,0.1125,0.05,0.3125
43,0.0,8,0.475,0.8824617925736133,0.4125,0.5,indecision,1,anticipation,7,0.0,0.4375,0.0,0.0875,0.15,0.0625,0.0125,0.325
43,2.0,8,0.4375,0.8910593041331676,0.375,0.125,cynicism,1,anger,5,0.075,0.23750000000000002,0.0625,0.1,0.1875,0.07500000000000001,0.037500000000000006,0.325
44,-2.0,8,0.3375,0.7856633903867928,0.3375,0.375,confusion,1,anticipation,6,0.0,0.2875,0.0,0.1375,0.15,0.075,0.0,0.2375
44,0.0,8,0.475,0.8910817018990554,0.38749999999999996,0.5,confusion,1,anticipation,7,0.0,0.4625,0.0,0.0875,0.1875,0.0625,0.0125,0.325
44,2.0,8,0.375,0.6719098010744986,0.25,0.125,uncertainty,1,anticipation,4,0.0,0.3125,0.0,0.0,0.25,0.0,0.0,0.375
45,-2.0,8,0.375,0.7401237079011129,0.32499999999999996,0.5,hunger,1,anticipation,4,0.0,0.3375,0.0,0.0,0.225,0.05,0.0875,0.25
