cat_a,cat_b,alpha,beta,cluster_id,cluster_name,cos_resid,cos_marg,cos_full,null_p95,norm_resid,norm_marg,norm_full
b8,b7,-2.0,2.0,5,ironic amusement,0.006602775305509567,0.18087568879127502,-0.006301485002040863,0.04776734113693237,0.49387964606285095,0.5937733054161072,0.35711395740509033
b8,b7,-2.0,2.0,6,enthusiasm / curiosity,0.06616190075874329,0.18507003784179688,-0.03090502694249153,0.041279226541519165,0.49387964606285095,0.5937733054161072,0.35711395740509033
b8,b7,2.0,-2.0,0,self-doubt / encouragement,0.04594365507364273,0.19992491602897644,-0.019132649526000023,0.04447821527719498,0.5017256140708923,0.5700216293334961,0.43948543071746826
b8,b7,2.0,-2.0,1,frustration / despair,-0.06667037308216095,0.24605914950370789,-0.0237079206854105,0.04994594305753708,0.5017256140708923,0.5700216293334961,0.43948543071746826
b8,b7,2.0,-2.0,2,uncertainty / indecision,0.00734206847846508,0.2576768398284912,-0.09334097802639008,0.040912676602602005,0.5017256140708923,0.5700216293334961,0.43948543071746826
b8,b7,2.0,-2.0,3,romantic idealism,-0.008375601842999458,0.13665395975112915,0.05479557439684868,0.05297365039587021,0.5017256140708923,0.5700216293334961,0.43948543071746826
b8,b7,2.0,-2.0,4,academic ambition / competitive determination,0.025014733895659447,0.1448468267917633,-0.08374053239822388,0.04842482879757881,0.5017256140708923,0.5700216293334961,0.43948543071746826
b8,b7,2.0,-2.0,5,ironic amusement,-0.004781506024301052,0.18402540683746338,-0.023689109832048416,0.04776734113693237,0.5017256140708923,0.5700216293334961,0.43948543071746826
b8,b7,2.0,-2.0,6,enthusiasm / curiosity,0.010480007156729698,0.2449643909931183,-0.01981682889163494,0.041279226541519165,0.5017256140708923,0.5700216293334961,0.43948543071746826
b8,b7,2.0,2.0,0,self-doubt / encouragement,0.09527494013309479,0.12473510205745697,-0.05896695703268051,0.04447821527719498,0.46657395362854004,0.6174442768096924,0.4061830937862396
b8,b7,2.0,2.0,1,frustration / despair,-0.009079794399440289,0.1957148313522339,-0.0015301257371902466,0.04994594305753708,0.46657395362854004,0.6174442768096924,0.4061830937862396
b8,b7,2.0,2.0,2,uncertainty / indecision,0.04149268940091133,0.21824133396148682,-0.09226332604885101,0.040912676602602005,0.46657395362854004,0.6174442768096924,0.4061830937862396
b8,b7,2.0,2.0,3,romantic idealism,-0.006457187235355377,0.04425264522433281,-0.06228916347026825,0.05297365039587021,0.46657395362854004,0.6174442768096924,0.4061830937862396
b8,b7,2.0,2.0,4,academic ambition / competitive determination,0.08708362281322479,0.06282038986682892,-0.1292521357536316,0.04842482879757881,0.46657395362854004,0.6174442768096924,0.4061830937862396
b8,b7,2.0,2.0,5,ironic amusement,0.028588157147169113,0.1479194462299347,-0.02028632164001465,0.04776734113693237,0.46657395362854004,0.6174442768096924,0.4061830937862396
b8,b7,2.0,2.0,6,enthusiasm / curiosity,0.05499379336833954,0.19199246168136597,-0.023139692842960358,0.041279226541519165,0.46657395362854004,0.6174442768096924,0.4061830937862396
