decomposer,k,seed,layer,silhouette_cosine_H,component,mi,linear_sep_acc,category_top1_dominance,vad_explained
ica,64,0,22,0.002953358693048358,9,0.15408599205208295,0.159375,1.0,0.005240627098828554
ica,64,0,22,0.002953358693048358,10,0.16993248101490366,0.14906250000000001,1.0,0.0013895046431571245
ica,64,0,22,0.002953358693048358,11,0.11970358622601163,0.136875,0.375,0.0009697549394331872
ica,64,0,22,0.002953358693048358,12,0.13204104929888016,0.1425,0.625,0.0013845867943018675
ica,64,0,22,0.002953358693048358,13,0.12942736265651522,0.13781249999999998,0.375,0.0012213148875162005
ica,64,0,22,0.002953358693048358,14,0.17795024680198956,0.16687500000000002,0.5,0.0003267524589318782
ica,64,0,22,0.002953358693048358,15,0.13228633794014533,0.1278125,0.375,0.0004395018331706524
ica,64,0,22,0.002953358693048358,16,0.14637673266184015,0.135,0.375,0.0006294436170719564
ica,64,0,22,0.002953358693048358,17,0.1360730045355334,0.1546875,0.25,0.0007565750856883824
ica,64,0,22,0.002953358693048358,18,0.14804166423005283,0.1515625,0.375,0.004031097050756216
ica,64,0,22,0.002953358693048358,19,0.13134310204173572,0.129375,0.25,0.00538034038618207
ica,64,0,22,0.002953358693048358,20,0.13360480918214446,0.138125,0.375,0.0003564892685972154
ica,64,0,22,0.002953358693048358,21,0.17244623407654425,0.13624999999999998,1.0,0.00037538050673902035
ica,64,0,22,0.002953358693048358,22,0.15131200967052605,0.14750000000000002,0.5,0.009279304184019566
ica,64,0,22,0.002953358693048358,23,0.13298535924728272,0.1409375,0.5,0.00019248868920840323
ica,64,0,22,0.002953358693048358,24,0.17128449701376525,0.1525,0.875,0.0014195370022207499
ica,64,0,22,0.002953358693048358,25,0.15106856406993785,0.158125,1.0,0.0023396038450300694
ica,64,0,22,0.002953358693048358,26,0.1289090494727807,0.14875,0.25,0.0018727477872744203
ica,64,0,22,0.002953358693048358,27,0.16908511500527235,0.1515625,0.5,0.021419450640678406
ica,64,0,22,0.002953358693048358,28,0.12880581005623926,0.1375,0.375,0.0004143185797147453
ica,64,0,22,0.002953358693048358,29,0.1842629726530305,0.164375,0.625,0.0006221448420546949
ica,64,0,22,0.002953358693048358,30,0.16821387401424337,0.14125000000000001,0.625,0.002522661117836833
ica,64,0,22,0.002953358693048358,31,0.20698010432297664,0.134375,0.5,0.000582407636102289
ica,64,0,22,0.002953358693048358,32,0.15878673621474748,0.1346875,0.625,0.002238482004031539
ica,64,0,22,0.002953358693048358,33,0.14529842968114437,0.16062500000000002,1.0,0.0006875626277178526
ica,64,0,22,0.002953358693048358,34,0.20768735593933885,0.1509375,0.375,0.0033320647198706865
ica,64,0,22,0.002953358693048358,35,0.16827779508282026,0.18000000000000002,1.0,0.006698511075228453
ica,64,0,22,0.002953358693048358,36,0.12969239431866786,0.1375,0.375,0.0021190629340708256
ica,64,0,22,0.002953358693048358,37,0.1669743902627996,0.1840625,0.625,0.020545244216918945
ica,64,0,22,0.002953358693048358,38,0.13722182937474736,0.13937500000000003,0.25,0.002626522444188595
ica,64,0,22,0.002953358693048358,39,0.13417682812003617,0.130625,0.625,0.0015400480479001999
ica,64,0,22,0.002953358693048358,40,0.16742013246874388,0.12593749999999998,0.375,0.000720678479410708
ica,64,0,22,0.002953358693048358,41,0.1482253657793806,0.1328125,1.0,0.0010474970331415534
ica,64,0,22,0.002953358693048358,42,0.15974996832635524,0.14625000000000002,0.625,0.005272292997688055
ica,64,0,22,0.002953358693048358,43,0.12581248896064823,0.1509375,1.0,0.002760159783065319
ica,64,0,22,0.002953358693048358,44,0.1735730728635283,0.14656249999999998,1.0,0.0004877581668552011
ica,64,0,22,0.002953358693048358,45,0.1570349550934571,0.12249999999999998,0.75,0.004105614498257637
ica,64,0,22,0.002953358693048358,46,0.13994645068546152,0.154375,0.625,0.0020606406033039093
ica,64,0,22,0.002953358693048358,47,0.09572233402076824,0.1296875,0.25,0.0003137158928439021
ica,64,0,22,0.002953358693048358,48,0.16840608402717505,0.135625,0.5,0.0033457670360803604
ica,64,0,22,0.002953358693048358,49,0.12501635843517,0.12875,0.25,0.00522245466709137
ica,64,0,22,0.002953358693048358,50,0.14687839864403873,0.1465625,0.875,0.003918531816452742
ica,64,0,22,0.002953358693048358,51,0.1544392074525609,0.16343749999999999,0.75,0.0012740620877593756
ica,64,0,22,0.002953358693048358,52,0.17692817075338985,0.1403125,1.0,0.0005167589988559484
ica,64,0,22,0.002953358693048358,53,0.1562374825447952,0.125,0.5,0.0004184168064966798
ica,64,0,22,0.002953358693048358,54,0.13294699155505718,0.125625,0.625,0.0005296318558976054
ica,64,0,22,0.002953358693048358,55,0.11506997478486047,0.1453125,1.0,0.0004040624771732837
ica,64,0,22,0.002953358693048358,56,0.14150442678740482,0.12281250000000002,0.5,0.00047494261525571346
ica,64,0,22,0.002953358693048358,57,0.14429607084750717,0.1546875,0.25,0.0014534688089042902
ica,64,0,22,0.002953358693048358,58,0.12496718583477273,0.1353125,0.375,0.0013674506917595863
ica,64,0,22,0.002953358693048358,59,0.13765128446069008,0.12062500000000001,0.375,0.003365030512213707
ica,64,0,22,0.002953358693048358,60,0.13405012497073,0.13843750000000002,0.5,0.0024261644575744867
ica,64,0,22,0.002953358693048358,61,0.16852910358760598,0.15875,0.5,0.007872617803514004
ica,64,0,22,0.002953358693048358,62,0.13067635233838049,0.138125,0.5,0.00035300879972055554
ica,64,0,22,0.002953358693048358,63,0.13804343778935868,0.1465625,0.25,0.002056059194728732
ica,128,0,22,0.00451522134244442,0,0.15326091442686884,0.1303125,0.5,0.0012741952668875456
ica,128,0,22,0.00451522134244442,1,0.11344614228816541,0.138125,0.5,0.002668010303750634
ica,128,0,22,0.00451522134244442,2,0.14758794949787424,0.15562499999999999,1.0,0.0002868492156267166
ica,128,0,22,0.00451522134244442,3,0.13320227952694985,0.13687499999999997,1.0,0.0013731342041864991
ica,128,0,22,0.00451522134244442,4,0.1527315056623766,0.1346875,0.5,0.0003103667695540935
